EXP3 GPU-only, CPU freq grid
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,G-B-L,9.37244,106.696,3.036664917147784
500000,1000000,8,8,G-B-L,9.55712,104.634,3.0965078272836744
500000,1512000,8,8,G-B-L,9.31336,107.373,3.0175183705400794
500000,1800000,8,8,G-B-L,9.33536,107.12,3.0246452576549663
1000000,500000,8,8,G-B-L,10.6478,93.9158,2.683254574842572
1000000,1000000,8,8,G-B-L,10.6858,93.5824,3.077501752466275
1000000,1512000,8,8,G-B-L,10.7021,93.4397,3.0822016765892872
1000000,1800000,8,8,G-B-L,10.6941,93.5098,2.6949047051752864
1512000,500000,8,8,G-B-L,10.9024,91.7233,3.1398783079108576
1512000,1000000,8,8,G-B-L,11.0038,90.8774,3.1691047499158205
1512000,1512000,8,8,G-B-L,11.2447,88.931,2.8336575547334446
1512000,1800000,8,8,G-B-L,10.8727,91.9735,3.131336743735967
1800000,500000,8,8,G-B-L,10.8385,92.2635,3.121494415451398
1800000,1000000,8,8,G-B-L,11.1919,89.3507,3.2232539868182344
1800000,1512000,8,8,G-B-L,11.1178,89.9457,3.201931832205431
1800000,1800000,8,8,G-B-L,11.0603,90.4132,3.1853755867506077
2208000,500000,8,8,G-B-L,10.9281,91.5069,3.147303645954567
2208000,1000000,8,8,G-B-L,11.0557,90.4509,3.1840479199211953
2208000,1512000,8,8,G-B-L,11.0191,90.7515,3.1735012644419105
2208000,1800000,8,8,G-B-L,11.0077,90.8456,3.5664908372007
